ID,Titulo,Tipo,Pai,Sprint,Story Points,Status,Data Criacao,Data Entrega
SCRUM-52,"T-26 — Implementar OmsIntegrationController + validação webhook",Subtask,SCRUM-21,SCRUM Sprint 2,3,Tarefas pendentes,2026-06-12,2025-06-18
SCRUM-53,"T-27 — OAuth2 Azure AD para callback D1000",Subtask,SCRUM-21,SCRUM Sprint 2,3,Tarefas pendentes,2026-06-12,2025-06-23
SCRUM-54,"T-28 — Fila de processamento assíncrono de eventos OMS",Subtask,SCRUM-21,SCRUM Sprint 2,4,Tarefas pendentes,2026-06-12,2025-06-27
SCRUM-55,"T-29 — Estrutura do Worker MigrationDirect com batches",Subtask,SCRUM-22,SCRUM Sprint 2,3,Tarefas pendentes,2026-06-12,2025-06-25
SCRUM-56,"T-30 — SemaphoreSlim, Polly retry e circuit breaker do Worker",Subtask,SCRUM-22,SCRUM Sprint 2,3,Tarefas pendentes,2026-06-12,2025-07-01
SCRUM-57,"T-31 — Graceful shutdown e checkpoint de migração",Subtask,SCRUM-22,SCRUM Sprint 2,2,Tarefas pendentes,2026-06-12,2025-07-04
SCRUM-58,"T-32 — Setup xUnit + Moq e testes da camada Domain",Subtask,SCRUM-23,SCRUM Sprint 2,3,Tarefas pendentes,2026-06-12,2025-06-30
SCRUM-59,"T-33 — Testes camada Application (handlers e services)",Subtask,SCRUM-23,SCRUM Sprint 2,3,Tarefas pendentes,2026-06-12,2025-07-04
SCRUM-60,"T-34 — Integrar relatório de cobertura no Azure Pipeline",Subtask,SCRUM-23,SCRUM Sprint 2,2,Tarefas pendentes,2026-06-12,2025-07-07
SCRUM-61,"T-35 — Setup Playwright e cenários E2E de cadastro",Subtask,SCRUM-24,SCRUM Sprint 2,2,Tarefas pendentes,2026-06-12,2025-07-04
SCRUM-62,"T-36 — Cenários E2E de opt-in/out e integrações + pipeline CI",Subtask,SCRUM-24,SCRUM Sprint 2,3,Tarefas pendentes,2026-06-12,2025-07-11
SCRUM-63,"T-37 — Criar 4 Azure Pipelines (build, test, deploy, rollback)",Subtask,SCRUM-25,SCRUM Sprint 2,2,Tarefas pendentes,2026-06-12,2025-06-13
SCRUM-64,"T-38 — Configurar 32 manifests K8s e deploy automático AKS",Subtask,SCRUM-25,SCRUM Sprint 2,3,Tarefas pendentes,2026-06-12,2025-06-20
SCRUM-65,"T-39 — Configurar Prometheus + métricas custom da API",Subtask,SCRUM-26,SCRUM Sprint 2,1,Tarefas pendentes,2026-06-12,2025-07-04
SCRUM-66,"T-40 — Criar dashboards Grafana e configurar alertas",Subtask,SCRUM-26,SCRUM Sprint 2,2,Tarefas pendentes,2026-06-12,2025-07-11
