Issue Id,Issue Type,Summary,Epic Name,Epic Link,Parent Id,Story Points,Sprint,Status,Requisito,Start Date,Due Date,Labels
T-30,Sub-task,Refatoração da lógica de atualização do token,,,US-05,,S8,Done,,22/04/2026,27/04/2026,AASPCNJ01
T-31,Sub-task,Refatoração do worker,,,US-05,,S8,Done,,23/04/2026,27/04/2026,AASPCNJ01
T-32,Sub-task,Endpoint para atualização do CodigoFonteAPI,,,US-06,,S7,Done,,27/04/2026,28/04/2026,AASPCNJ01
T-33,Sub-task,Merge na AndamentosProcessuais e correções no serviço de token,,,US-05,,S8,Done,,28/04/2026,28/04/2026,AASPCNJ01
T-34,Sub-task,Prioridade de mensagem e correções BotMax,,,US-12,,S8,Done,,29/04/2026,29/04/2026,AASPCNJ01
T-35,Sub-task,Organização do fluxo de exclusão e injeção de tokens,,,US-10,,S8,Done,,30/04/2026,30/04/2026,AASPCNJ01
T-36,Sub-task,Alteração no método de consulta de processos para captura,,,US-09,,S9,Done,,06/05/2026,01/06/2026,AASPCNJ01
T-37,Sub-task,Segredo de justiça por instância — detecção e registro,,,US-13,,S9,Done,,12/05/2026,01/06/2026,AASPCNJ01
T-38,Sub-task,Desmembramento do método RunUpdater para priorização,,,US-13,,S9,Done,,12/05/2026,13/05/2026,AASPCNJ01
T-39,Sub-task,Chamada para cadastro na API parceira (worker),,,US-12,,S9,Done,,12/05/2026,01/06/2026,AASPCNJ01
T-40,Sub-task,Revisão da rotina EPROC/ESAJ p/ segredo em instância única,,,US-13,,S9,Done,,07/05/2026,01/06/2026,AASPCNJ01
T-41,Sub-task,Alteração na tabela ProcessoCapturaLogin (homologação),,,US-14,,S9,Done,,18/05/2026,21/05/2026,AASPCNJ01
T-42,Sub-task,Testes de fluxo do projeto de captura CNJ,,,US-16,,S10,Done,,25/05/2026,25/05/2026,AASPCNJ01
T-43,Sub-task,Correção no fluxo de indexação e exclusão nas parceiras,,,US-12,,S10,Done,,25/05/2026,26/05/2026,AASPCNJ01
T-44,Sub-task,Testes de persistência de movimentações,,,US-16,,S10,Done,,26/05/2026,27/05/2026,AASPCNJ01
T-45,Sub-task,Implementação de retry para envio do webhook,,,US-17,,S10,Done,,27/05/2026,29/05/2026,AASPCNJ01
T-46,Sub-task,Validação do fluxo de captura,,,US-16,,S10,Done,,29/05/2026,01/06/2026,AASPCNJ01
T-47,Sub-task,Atividades de finalização do projeto,,,US-18,,S11,In Progress,,03/06/2026,,AASPCNJ01
T-48,Sub-task,Implementação da captura de 2ª instância EPROC (retomada),,,US-18,,S11,In Progress,,03/06/2026,,AASPCNJ01
