Issue Type,Summary,Description,Story Points,Sprint,Priority,Labels,Assignee,Epic Link,Parent,Fix Version,Status,Reporter
Story,Implementar JiraService — CreateTaskAsync com prefixo #ID,"Criar Task com summary '#ID Nome', descrição ADF, labels sanitizadas e status mapeado. RF03, D03.",5,Sprint 2 — Desenvolvimento dos Serviços,High,"AASPGOV01,mps-nivel-c",Henry,SensrJiraSync — Serviço de Sincronização Sensr → Jira,,v1.0.0,Done,Abraão Oliveira
Story,Implementar JiraService — CreateSubtaskAsync,Criar Subtask vinculada à Task pai com hierarquia correta. RF04.,3,Sprint 2 — Desenvolvimento dos Serviços,High,"AASPGOV01,mps-nivel-c",Henry,SensrJiraSync — Serviço de Sincronização Sensr → Jira,,v1.0.0,Done,Abraão Oliveira
Story,Implementar JiraService — TransitionAsync e GetTransitionsAsync,Consultar transições disponíveis e aplicar transição de status. RF05.,3,Sprint 2 — Desenvolvimento dos Serviços,High,"AASPGOV01,mps-nivel-c",Henry,SensrJiraSync — Serviço de Sincronização Sensr → Jira,,v1.0.0,Done,Abraão Oliveira
Story,Implementar JiraService — AddCommentAsync e migração do description_history,Adicionar entradas do histórico HTML como comentários individuais na Task. RF06.,3,Sprint 2 — Desenvolvimento dos Serviços,Medium,"AASPGOV01,mps-nivel-c",Henry,SensrJiraSync — Serviço de Sincronização Sensr → Jira,,v1.0.0,Done,Abraão Oliveira
Story,Implementar HtmlHelper — ToPlainText e ParseDescriptionHistory,"Converter HTML do Sensr para texto plano antes de montar ADF. D05, RF07.",5,Sprint 2 — Desenvolvimento dos Serviços,High,"AASPGOV01,mps-nivel-c",Henry,SensrJiraSync — Serviço de Sincronização Sensr → Jira,,v1.0.0,Done,Abraão Oliveira
Story,Implementar JiraService — BuildAdfDocument,"Serializar conteúdo para ADF (Atlassian Document Format) conforme exigido pela API Jira v3. D04, RF07.",5,Sprint 2 — Desenvolvimento dos Serviços,High,"AASPGOV01,mps-nivel-c",Henry,SensrJiraSync — Serviço de Sincronização Sensr → Jira,,v1.0.0,Done,Abraão Oliveira
Story,Implementar JiraService — SanitizeLabel,Substituir espaços e barras por underscore em labels antes do envio. RF09.,2,Sprint 2 — Desenvolvimento dos Serviços,Medium,"AASPGOV01,mps-nivel-c",Allan Alves,SensrJiraSync — Serviço de Sincronização Sensr → Jira,,v1.0.0,Done,Abraão Oliveira
Story,Implementar JiraService — GetIssuesByEpicAsync com paginação nextPageToken,Buscar todas as Tasks de um Epic com paginação completa. RNF01.,3,Sprint 2 — Desenvolvimento dos Serviços,High,"AASPGOV01,mps-nivel-c",Allan Alves,SensrJiraSync — Serviço de Sincronização Sensr → Jira,,v1.0.0,Done,Abraão Oliveira
Story,Implementar SyncService — fluxo de criação de issues,"Orquestrar criação de Epic, Task e Subtask para atividades novas. RF02–RF04, RF06–RF09.",5,Sprint 2 — Desenvolvimento dos Serviços,High,"AASPGOV01,mps-nivel-c",Henry,SensrJiraSync — Serviço de Sincronização Sensr → Jira,,v1.0.0,Done,Abraão Oliveira
Story,Implementar SyncService — fluxo de sincronização incremental de status,"Verificar divergência de status e aplicar transição apenas quando necessário. RF05, D06.",5,Sprint 2 — Desenvolvimento dos Serviços,High,"AASPGOV01,mps-nivel-c",Henry,SensrJiraSync — Serviço de Sincronização Sensr → Jira,,v1.0.0,Done,Abraão Oliveira
Story,Implementar tratamento de exceção por desenvolvedor no SyncService,Isolar falha de cada DeveloperConfig garantindo continuidade dos demais. RNF02.,3,Sprint 2 — Desenvolvimento dos Serviços,High,"AASPGOV01,mps-nivel-c",Henry,SensrJiraSync — Serviço de Sincronização Sensr → Jira,,v1.0.0,Done,Abraão Oliveira
Story,Implementar Program.cs — bootstrap via DI e configuração,"Composição de dependências via Microsoft.Extensions.DI, leitura do appsettings.json. RF10, RNF05.",3,Sprint 2 — Desenvolvimento dos Serviços,Medium,"AASPGOV01,mps-nivel-c",Allan Alves,SensrJiraSync — Serviço de Sincronização Sensr → Jira,,v1.0.0,Done,Abraão Oliveira
Story,Configurar Azure Scheduled Job — publicação do executável .NET 8,"Publicar executável auto-contido no Azure Scheduler com exit codes 0/1. RF11, D07.",3,Sprint 2 — Desenvolvimento dos Serviços,High,"AASPGOV01,mps-nivel-c",Cézar Hiraki,SensrJiraSync — Serviço de Sincronização Sensr → Jira,,v1.0.0,Done,Abraão Oliveira
Story,Implementar log estruturado em todos os serviços,"Logging via Microsoft.Extensions.Logging em SensrService, JiraService, SyncService. RNF03.",2,Sprint 2 — Desenvolvimento dos Serviços,Medium,"AASPGOV01,mps-nivel-c",Henry,SensrJiraSync — Serviço de Sincronização Sensr → Jira,,v1.0.0,Done,Abraão Oliveira
Story,Executar ciclo de homologação E2E — CT-01 a CT-12,Executar 12 cenários de teste em ambiente real Sensr/Jira. Validar CA01–CA07.,5,Sprint 3 — Homologação e Correções,High,"AASPGOV01,mps-nivel-c",Jonatan,SensrJiraSync — Serviço de Sincronização Sensr → Jira,,v1.0.0,Done,Abraão Oliveira
Story,Corrigir BUG-01 — HTML enviado diretamente ao Jira,Implementar HtmlHelper.ToPlainText e ParseDescriptionHistory antes da geração do ADF.,3,Sprint 3 — Homologação e Correções,High,"AASPGOV01,mps-nivel-c",Henry,SensrJiraSync — Serviço de Sincronização Sensr → Jira,,v1.0.0,Done,Abraão Oliveira
Story,Corrigir BUG-02 — Transições de status falhando silenciosamente,Consulta prévia via GetTransitionsAsync; log de aviso quando transição não encontrada.,2,Sprint 3 — Homologação e Correções,High,"AASPGOV01,mps-nivel-c",Henry,SensrJiraSync — Serviço de Sincronização Sensr → Jira,,v1.0.0,Done,Abraão Oliveira
Story,Corrigir BUG-03 — Comparação de status case-sensitive,Aplicar StringComparison.OrdinalIgnoreCase no UpdateIssueIfNeededAsync.,1,Sprint 3 — Homologação e Correções,Medium,"AASPGOV01,mps-nivel-c",Henry,SensrJiraSync — Serviço de Sincronização Sensr → Jira,,v1.0.0,Done,Abraão Oliveira
Story,Corrigir BUG-04 — Labels com espaços causando erro HTTP,Implementar SanitizeLabel substituindo espaços e barras por underscore.,1,Sprint 3 — Homologação e Correções,Medium,"AASPGOV01,mps-nivel-c",Allan Alves,SensrJiraSync — Serviço de Sincronização Sensr → Jira,,v1.0.0,Done,Abraão Oliveira
Story,Corrigir BUG-05 — Ausência de paginação na busca por Epic,Paginação via nextPageToken no GetIssuesByEpicAsync.,2,Sprint 3 — Homologação e Correções,High,"AASPGOV01,mps-nivel-c",Allan Alves,SensrJiraSync — Serviço de Sincronização Sensr → Jira,,v1.0.0,Done,Abraão Oliveira
Story,Executar reteste de regressão pós-correções,Retestar todos os cenários afetados pelos BUG-01 a BUG-05. 100% aprovação antes da validação.,3,Sprint 3 — Homologação e Correções,High,"AASPGOV01,mps-nivel-c",Jonatan,SensrJiraSync — Serviço de Sincronização Sensr → Jira,,v1.0.0,Done,Abraão Oliveira
Story,Validação final com Sponsor — CA01 a CA07,Reunião de validação com Marcos Correa Fernandez Turnes. Aprovação formal dos critérios de aceite.,2,Sprint 3 — Homologação e Correções,High,"AASPGOV01,mps-nivel-c",Abraão Oliveira,SensrJiraSync — Serviço de Sincronização Sensr → Jira,,v1.0.0,Done,Abraão Oliveira
Story,Emitir TAE e encerrar projeto formalmente,Emissão do Termo de Aceite e Encerramento. Assinatura do Sponsor em 02/06/2026.,1,Sprint 3 — Homologação e Correções,High,"AASPGOV01,mps-nivel-c",Abraão Oliveira,SensrJiraSync — Serviço de Sincronização Sensr → Jira,,v1.0.0,Done,Abraão Oliveira
